Summary,Issue Type,Description,Priority,Labels,Component
"Implement Code Search API endpoint","Story","Create REST API endpoint for searching medical codes with support for full-text search case-insensitive matching and pagination. Technical Specifications: Endpoint GET /api/codes with search query page and pageSize parameters. Database PostgreSQL with Prisma ORM. Search Full-text search using Prisma contains with insensitive mode. Performance target less than 500ms response time. Stack: Next.js 14 Prisma PostgreSQL TypeScript Zod. Implementation Tasks: 1. Create API route handler in src/app/api/codes/route.ts 2. Implement search logic in src/lib/db/codes.ts 3. Add Zod validation schema in src/lib/validations/code.ts 4. Add debounce logic in frontend (300ms) 5. Implement pagination logic 6. Add error handling and logging 7. Write unit tests (Jest) 8. Write integration tests (Playwright) 9. Performance testing (less than 500ms target) 10. Update API documentation. Technical Approach: Use Prisma where clause with OR condition for code and description search. Index code and description columns for fast search. Unit tests for search logic integration tests for API endpoint.","High","ILPR,Implementation,Backend,API","Backend"
"Implement Code Pagination Component","Story","Create reusable pagination component with Next and Previous buttons page info display and state management. Technical Specifications: Component React functional component with hooks. State management React useState for page state. Props page totalPages onPageChange callback. Styling Tailwind CSS with Shadcn/ui Button component. Stack: React 18 TypeScript Tailwind CSS Shadcn/ui. Implementation Tasks: 1. Create pagination component in src/components/ui/pagination.tsx 2. Implement page state management in parent component 3. Add Next and Previous button logic with disabled states 4. Add page info display (Page X of Y) 5. Integrate with Code Library page 6. Add keyboard navigation (arrow keys) 7. Write unit tests (Jest plus React Testing Library) 8. Add accessibility attributes (ARIA labels) 9. Test with different page counts 10. Update component documentation. Technical Approach: Local state with useState pass page changes to parent via callback. ARIA labels for buttons keyboard navigation support. Design as generic component for use across all list pages.","High","ILPR,Implementation,Frontend,UI","Frontend"
"Implement Code Statistics Aggregation","Story","Create database queries and API endpoint for calculating code statistics (total active inactive by type). Technical Specifications: Endpoint GET /api/codes/statistics. Database PostgreSQL with Prisma aggregation queries. Caching Optional Redis caching for 5-minute TTL. Response format JSON with totalCodes activeCodes inactiveCodes codeTypeCount byType. Stack: Next.js 14 Prisma PostgreSQL TypeScript. Implementation Tasks: 1. Create API route in src/app/api/codes/statistics/route.ts 2. Implement aggregation queries in src/lib/db/codes.ts 3. Add caching logic (optional Redis) 4. Create TypeScript interface for statistics response 5. Implement error handling 6. Write unit tests for aggregation logic 7. Write integration tests for API endpoint 8. Performance testing (less than 200ms target) 9. Add monitoring and logging 10. Update API documentation. Technical Approach: Use Prisma count() and groupBy() for efficient aggregation. Consider materialized view or caching for large datasets. Design for 100000 plus codes.","Medium","ILPR,Implementation,Backend,API","Backend"
"Implement Code Details Display Component","Story","Create table component for displaying medical codes with proper formatting badges and hover effects. Technical Specifications: Component React table component with Shadcn/ui Table. Formatting Monospace font for code values color-coded badges for status. Styling Tailwind CSS with hover effects and responsive design. Stack: React 18 TypeScript Tailwind CSS Shadcn/ui. Implementation Tasks: 1. Create code table component in src/components/codes/codes-table.tsx 2. Implement table structure with proper columns 3. Add monospace font styling for code values 4. Create Badge components for code type and status 5. Add hover effect styling 6. Implement responsive design for mobile 7. Add sorting capability (optional) 8. Write unit tests (Jest plus React Testing Library) 9. Test with different data sets 10. Update component documentation. Technical Approach: Use Tailwind utilities for monospace font badge colors hover effects. Proper table headers ARIA labels for badges. Design as generic component for use with other code lists.","Medium","ILPR,Implementation,Frontend,UI","Frontend"
"Implement Code Import Wizard","Story","Create multi-step wizard for importing medical codes from CSV files with validation preview and error handling. Technical Specifications: Component Multi-step wizard with file upload validation preview and execution. File handling CSV parsing with validation. API endpoints POST /api/codes/import/validate and POST /api/codes/import/execute. Error handling Detailed validation errors with line numbers. Stack: React 18 Next.js 14 Prisma papaparse TypeScript. Implementation Tasks: 1. Create wizard component in src/components/codes/code-import-wizard.tsx 2. Implement file upload with drag-and-drop 3. Add CSV parsing logic 4. Create validation API endpoint 5. Implement preview step with first 10 rows 6. Create execution API endpoint with bulk insert 7. Add duplicate detection logic 8. Implement progress indicator 9. Add error handling and rollback 10. Write unit and integration tests 11. Update documentation. Technical Approach: Use papaparse for CSV parsing validate headers and data types. Use Prisma createMany for bulk insert wrap in transaction. Check existing codes before insert offer skip or update options. Handle up to 10000 codes per import show progress.","High","ILPR,Implementation,Frontend,Backend,Import","Import"
"Implement Custom Code Creation Form","Story","Create form component for creating custom medical codes with validation and submission. Technical Specifications: Component React form with Shadcn/ui Form components. Validation Zod schema for client and server-side validation. API endpoint POST /api/codes. Fields code type description category status effectiveDate etc. Stack: React 18 React Hook Form Zod Next.js 14 Prisma TypeScript. Implementation Tasks: 1. Create form component in src/components/codes/create-code-form.tsx 2. Implement form fields with React Hook Form 3. Add Zod validation schema 4. Create API endpoint for code creation 5. Implement duplicate detection 6. Add success and error toast notifications 7. Implement form reset after successful creation 8. Write unit tests for validation 9. Write integration tests for form submission 10. Update documentation. Technical Approach: Client-side validation with Zod server-side validation in API. Check for existing code before insert. Toast notifications for success and error clear validation messages.","Medium","ILPR,Implementation,Frontend,Backend,Forms","Forms"
"Implement Quality Measure Search and Filters","Story","Create search and filter functionality for quality measures with program and domain filters. Technical Specifications: Component Search input with advanced filters panel. API endpoint GET /api/quality-measures with search program and domain parameters. Filtering By measure name program (HEDIS or MIPS) domain. Performance target less than 500ms response time. Stack: React 18 Next.js 14 Prisma TypeScript. Implementation Tasks: 1. Create search component in src/components/quality-measures/measure-search.tsx 2. Create filters component in src/components/quality-measures/measure-filters.tsx 3. Implement API endpoint with filtering logic 4. Add debounce to search input (300ms) 5. Implement filter state management 6. Add clear filters functionality 7. Write unit tests for filter logic 8. Write integration tests for API endpoint 9. Performance testing 10. Update documentation. Technical Approach: Full-text search on measure name and description. Dropdown filters for program and domain with multi-select. Local state with useState URL params for shareable links. Index measure name for fast search.","High","ILPR,Implementation,Frontend,Backend,Search","Search"
"Implement Quality Measure Details Modal","Story","Create modal component for displaying detailed quality measure information with tabs for overview logic products and codes. Technical Specifications: Component Modal with tabbed interface using Shadcn/ui Dialog and Tabs. API endpoint GET /api/quality-measures/{id}. Tabs Overview Measure Logic Products Billing Codes. Data loading Fetch measure details on modal open. Stack: React 18 Shadcn/ui Next.js 14 Prisma TypeScript. Implementation Tasks: 1. Create modal component in src/components/quality-measures/measure-details-modal.tsx 2. Implement tabbed interface with Shadcn/ui Tabs 3. Create API endpoint for fetching measure details with relations 4. Implement Overview tab with all measure properties 5. Implement Measure Logic tab with structured logic display 6. Implement Products tab with linked products 7. Implement Billing Codes tab with grouped codes 8. Add Edit Logic button with navigation 9. Write unit tests for modal component 10. Write integration tests for data loading 11. Update documentation. Technical Approach: Fetch measure with all relations (valueSet measureLogic productMeasures). Use Shadcn/ui Tabs for smooth transitions lazy load tab content. Modal open less than 300ms tab switching less than 100ms. Proper ARIA labels keyboard navigation.","High","ILPR,Implementation,Frontend,Backend,Modal","Modal"
"Implement Measure Logic Editor","Story","Create editor interface for configuring quality measure logic including denominator numerator and exclusion criteria. Technical Specifications: Component Complex form with logic builder interface. API endpoints PUT /api/quality-measures/{id}/logic and POST /api/measure-logic. Logic types Denominator Numerator Exclusion. Validation Ensure valid logic structure before save. Stack: React 18 Next.js 14 Prisma TypeScript. Implementation Tasks: 1. Create logic editor component in src/components/quality-measures/measure-logic-editor.tsx 2. Implement logic builder UI with add and remove criteria 3. Create API endpoint for updating measure logic 4. Implement validation for logic structure 5. Add value set selector for criteria 6. Implement code selector for value sets 7. Add logic operator selector (AND or OR) 8. Implement save with confirmation 9. Add cancel with confirmation dialog 10. Write unit tests for validation 11. Write integration tests for save flow 12. Update documentation. Technical Approach: Complex form state with nested objects for logic criteria. Validate logic structure ensure all criteria have value sets. Confirmation dialogs for save and cancel toast notifications. High complexity due to nested logic structure.","High","ILPR,Implementation,Frontend,Backend,Forms","Forms"
"Implement Benefit Mapping Creation","Story","Create form and API for creating benefit mappings between codes and benefit segments. Technical Specifications: Component Form with code selector benefit segment selector and cost-sharing fields. API endpoint POST /api/mappings. Fields code benefitSegment copay coinsurance deductibleApplies priority. Validation Zod schema with conflict detection. Stack: React 18 React Hook Form Zod Next.js 14 Prisma TypeScript. Implementation Tasks: 1. Create mapping form in src/components/mappings/create-mapping-form.tsx 2. Implement code selector with search 3. Implement benefit segment selector 4. Add cost-sharing fields (copay coinsurance deductible) 5. Create API endpoint for mapping creation 6. Implement conflict detection logic 7. Add validation for currency and percentage fields 8. Implement success and error notifications 9. Write unit tests for validation 10. Write integration tests for creation flow 11. Update documentation. Technical Approach: Check for existing mapping with same code-benefit pair. Currency format for copay percentage for coinsurance integer for priority. Toast notifications clear validation messages.","High","ILPR,Implementation,Frontend,Backend,Forms","Forms"
